num,FSDB,moTagL,moTagR,tState,brand,moPITTag,season,moDay,moMn,moYear,moAge,arrivalDate,sex,pupBM,day,month,year,event
1203,F15423,W9271,W9271,++,,0419D26FCC,2020,,,,,14/12/2019,M,,15,12,2019,2
1203,F15423,W9271,W9271,++,,0419D26FCC,2020,,,,,19/12/2020,,,,,2019,5
1203,F15423,W9271-TH,W9271-TH,--,,0419D26FCC,2022,,,,,21/12/2021,,,,,2021,5
1204,F15427,W9272,W9272,++,,0419D28B42,2020,,,,,16/12/2019,M,4.7,17,12,2019,2
1204,F15427,W9272-TH,W9272-TH,--,,0419D28B42,2021,,,,,08/12/2020,F,3.85,9,12,2020,2
1204,F15427,W9272-TH,W9272-TH,--,,0419D28B42,2022,,,,,08/12/2021,F,4.45,9,12,2021,2
1205,F15398,W9273,W9273,++,,0419D25F70,2020,,,,,17/12/2019,M,5.3,18,12,2019,2
1206,F15430,W9274,W9274,++,,0419D285D0,2020,,,,,,F,4.8,17,12,2019,3
1207,F15393,W9275,W9275,++,,0419D258CB,2020,,,,,18/12/2019,F,3.9,19,12,2019,3
1207,F15393,W9275,W9275,++,,0419D258CB,2021,,,,,08/12/2020,M,4.4,9,12,2020,2
1207,F15393,W9275-TH,W9275-TH,--,,0419D258CB,2022,,,,,16/12/2021,M,5.2,17,12,2021,2
1207,F15393,W9275-TH,W9275-TH,--,,0419D258CB,2023,,,,,08/12/2022,F,4.35,9,12,2022,2
1208,F15388,W9276,W9276,++,,0419D26D92,2020,,,,,18/12/2019,F,5.4,20,12,2019,4
1208,F15388,W9276,W9276,++,,0419D26D92,2021,,,,,06/12/2020,M,5.2,8,12,2020,2
