num,FSDB,moTagL,moTagR,tState,brand,moPITTag,season,moDay,moMn,moYear,moAge,arrivalDate,sex,pupBM,day,month,year,event
1151,F14602,W8454,W8454,++,,041868D0FB,2022,,,,,09/12/2021,,,,,2021,5
1151,F14602,W8454,W8454,++,,041868D0FB,2023,,,,,04/12/2022,M,4.95,5,12,2022,2
1152,F14608,W8455,W8455,++,,0418690E8D,2018,,,2008,9,,F,4.5,9,12,2017,2
1152,F14608,W8455,W8455,++,,0418690E8D,2019,,,2008,10,08/12/2018,F,4.6,10,12,2018,2
1152,F14608,W8455,W8455,++,,0418690E8D,2020,,,2008,11,07/12/2019,M,6.3,9,12,2019,2
1152,F14608,W8455,W8455,++,,0418690E8D,2021,,,2008,12,03/12/2020,M,5.8,4,12,2020,2
1152,F14608,W8455,W8455,++,,0418690E8D,2022,,,2008,13,06/12/2021,M,5.9,8,12,2021,2
1152,F14608,W8455,W8455,++,,0418690E8D,2023,,,2008,14,01/12/2022,M,6.6,3,12,2022,2
1152,F14608,W8455,W8455,++,,0418690E8D,2024,,,2008,15,05/12/2023,,,5,12,2023,4
1152,F14608,W8455,W8455,++,,0418690E8D,2025,,,2008,16,04/12/2024,,,,,2024,5
1153,F14610,W8456,W8456,++,,0418EB9EEF,2018,,,2010,7,,F,6.2,12,12,2017,2
1153,F14610,W8456,W8456,++,,0418EB9EEF,2019,,,2010,8,12/12/2018,F,5.2,14,12,2018,2
1154,F14614,W8457,W8457,++,,041948735A,2018,,,2009,8,,M,5.6,13,12,2017,2
1155,F14612,W8458,W8458,++,,419489871,2018,,,2008,9,12/12/2017,M,6.5,12,12,2017,2
1155,F14612,W8458,W8458,++,,419489871,2020,,,2008,11,12/12/2019,F,5.9,15,12,2019,2
1155,F14612,W8458,W8458,++,,419489871,2022,,,2008,13,28/12/2021,,,,,2021,5
1155,F14612,W8458,W8458,++,,419489871,2023,,,2008,14,12/12/2022,,,,,2022,5
1155,F14612,W8458,W8458,++,,419489871,2024,,,2008,15,23/12/2023,,,,,2023,5
1155,F14612,W8458,W8458,++,,419489871,2025,,,2008,16,15/12/2024,,,,,2024,5
1156,F14618,W8459,W8459,++,,0419D28F0A,2018,,,2010,7,,M,5.1,20,12,2017,2
1156,F14618,W8459,W8459,++,,0419D28F0A,2019,,,2010,8,03/01/2019,,,,,2018,5
1156,F14618,W8459,W8459,++,,0419D28F0A,2020,,,2010,9,16/12/2019,M,5.1,17,12,2019,2
1156,F14618,W8459-TH,W8459,-+,,0419D28F0A,2021,,,2010,10,15/12/2020,F,4.75,16,12,2020,2
1156,F14618,W8459-TH,W8459-TH,-+,,0419D28F0A,2022,,,2010,11,15/12/2021,,,,,2021,5
1156,F14618,W8459-TH,W8459-TH,-+,,0419D28F0A,2023,,,2010,12,08/12/2022,M,5.45,9,12,2022,2
1156,F14618,W8459-TH,W8459-TH,-+,,0419D28F0A,2024,,,2010,13,11/12/2023,,,11,12,2023,4
1156,F14618,W8459-TH,W8459-TH,-+,,0419D28F0A,2025,,,2010,14,08/12/2024,F,4.4,8,12,2024,4
1157,F14616,W8460,W8460,++,,0419D258C1,2018,,,2013,4,,M,5.2,17,12,2017,2
1157,F14616,W8460,W8460,++,,0419D258C1,2019,,,2013,5,12/12/2018,M,5.1,13,12,2018,2
1157,F14616,W8460,W8460,++,,0419D258C1,2021,,,2013,7,08/12/2020,F,4.3,8,12,2020,2
1157,F14616,W8460,W8460,++,,0419D258C1,2022,,,2013,8,11/12/2021,,,,,2021,5
1157,F14616,W8460,W8460-TH,+-,,0419D258C1,2023,,,2013,9,07/12/2022,M,6.2,8,12,2022,2
1157,F14616,W8460,W8460-TH,+-,,0419D258C1,2024,,,2013,10,06/12/2023,,,,,2023,5
1157,F14616,W8460,W8460-TH,+-,,0419D258C1,2025,,,2013,11,09/12/2024,M,5.3,10,12,2024,4
1158,F14620,W8461,W8461,++,,0419D28BEB,2018,,,2011,6,,M,4.8,23,12,2017,4
1158,F14620,W8461-TH,W8461-TH,--,,0419D28BEB,2019,,,2011,7,29/12/2018,,,,,2018,5
1159,F14622,W8462,W8462,++,,0419D24E1A,2018,,,2013,4,,M,5.4,23,12,2017,2
1160,F14624,W8463,W8463,++,,0419D25360,2018,,,2012,5,,F,4.1,26,12,2017,2
1160,F14624,W8463,W8463,++,,0419D25360,2019,,,2012,6,19/12/2018,M,3.9,20,12,2018,2
1160,F14624,W8463,W8463,++,,0419D25360,2020,,,2012,7,12/12/2019,M,5.2,13,12,2019,2
1160,F14624,W8463,W8463,++,,0419D25360,2021,,,2012,8,12/12/2020,M,5,14,12,2020,2
1161,F14849,W8464,W8464,++,,418046480,2019,,,2012,6,29/11/2018,F,4.5,30,11,2018,4
1161,F14849,W8464-TH,W8464,-+,,418046480,2020,,,2012,7,02/12/2019,M,5.3,3,12,2019,4
1161,F14849,W8464-TH,W8464,-+,,418046480,2021,,,2012,8,24/11/2020,F,4.1,25,11,2020,2
1161,F14849,W8464-TH,W8464,-+,,418046480,2022,,,2012,9,29/11/2021,F,4.3,30,11,2021,2
1161,F14849,W8464-TH,W8464,-+,,418046480,2023,,,2012,10,20/11/2022,F,4.5,22,11,2022,2
1162,F14856,W8465,W8465,++,,041A045616,2019,,,2011,7,#REF!,F,4.3,3,12,2018,2
1162,F14856,W8465,W8465,++,,041A045616,2019,,,2011,7,06/02/2019,,,,,2018,12
1163,F14851,W8466,W8466,++,,041A044091,2019,,,2014,4,29/11/2018,F,4.5,30,11,2018,4
1163,F14851,W8466,W8466,++,,041A044091,2019,,,2014,4,26/02/2019,,,,,2018,12
1163,F14851,W8466,W8466,++,,041A044091,2020,,,2014,5,05/12/2019,M,6,6,12,2019,2
1163,F14851,W8466,W8466,++,,041A044091,2021,,,2014,6,08/12/2020,,,,,2020,5
1163,F14851,W8466,W8466,++,,041A044091,2022,,,2014,7,22/11/2021,F,4.05,24,11,2021,3
1163,F14851,W8466,W8466,++,,041A044091,2023,,,2014,8,25/11/2022,M,4.8,26,11,2022,2
1163,F14851,W8466,W8466,++,,041A044091,2024,,,2014,9,21/11/2023,F,4.55,22,11,2023,4
1163,F14851,W8466-TH,W8466,-+,,041A044091,2025,,,2014,10,24/11/2024,M,5.5,25,11,2024,4
1164,F14854,W8467,W8467,++,,041A043609,2019,,,2013,5,02/12/2018,F,4.5,2,12,2018,4
1164,F14854,W8467,W8467,++,,041A043609,2020,,,2013,6,26/11/2019,F,5.1,27,11,2019,4
1164,F14854,W8467,W8467,++,,041A043609,2021,,,2013,7,01/12/2020,,,,,2020,5
1164,F14854,W8467,W8467,++,,041A043609,2022,,,2013,8,03/12/2021,,,,,2021,5
1165,F14859,W8468,W8468,++,,041A046AB4,2019,,,2008,10,,F,4.3,4,12,2018,2
1165,F14859,W8468,W8468,++,,041A046AB4,2019,,,2008,10,03/02/2019,,,,,2018,12
1165,F14859,W8468,W8468,++,,041A046AB4,2020,,,2008,11,08/12/2019,M,5.4,9,12,2019,2
1165,F14859,W8468,W8468,++,,041A046AB4,2021,,,2008,12,29/11/2020,M,5.3,1,12,2020,2
1165,F14859,W8468,W8468,++,,041A046AB4,2022,,,2008,13,04/12/2021,F,4.4,6,12,2021,2
1165,F14859,W8468,W8468,++,,041A046AB4,2023,,,2008,14,29/11/2022,F,5.4,1,12,2022,4
1165,F14859,W8468,W8468-TH,+-,,041A046AB4,2024,,,2008,15,19/12/2023,,,,,2023,5
1165,F14859,W8468,W8468-TH,+-,,041A046AB4,2025,,,2008,16,24/11/2024,F,4.9,25,11,2024,4
1166,F14861,W8469,W8469,++,,041A043369,2019,,,2006,12,,M,5.2,4,12,2018,2
1166,F14861,W8469,W8469,++,,041A043369,2019,,,2006,12,03/02/2019,,,,,2018,12
1166,F14861,W8469,W8469,++,,041A043369,2019,,,2006,12,09/04/2019,,,,,2018,5
1167,F14865,W8470,W8470,++,,041A042003,2019,,,2012,6,,F,4.5,5,12,2018,4
1167,F14865,W8470,W8470,++,,041A042003,2019,,,2012,6,11/02/2019,,,,,2018,12
1168,F14863,W8471,W8471,++,,041A043F19,2019,,,2008,10,,M,6.3,5,12,2018,4
1169,F14867,W8472,W8472,++,,041A0422F5,2019,,,2012,6,,M,5.7,8,12,2018,2
1169,F14867,W8472,W8472,++,,041A0422F5,2019,,,2012,6,04/02/2019,,,,,2018,12
1169,F14867,W8472,W8472,++,,041A0422F5,2020,,,2012,7,02/12/2019,F,5.3,4,12,2019,2
1169,F14867,W8472,W8472,++,,041A0422F5,2022,,,2012,9,07/12/2021,,,,,2021,5
1169,F14867,W8472,W8472,++,,041A0422F5,2023,,,2012,10,10/12/2022,,,,,2022,5
1169,F14867,W8472,W8472,++,,041A0422F5,2024,,,2012,11,05/12/2023,,,5,12,2023,4
