num,FSDB,moTagL,moTagR,tState,brand,moPITTag,season,moDay,moMn,moYear,moAge,arrivalDate,sex,pupBM,day,month,year,event
1,,O139,,+-,,,1984,,,1980,3,19/12/1983,,,20,12,1983,4
1,,O139,,+-,,,1985,,,1980,4,20/12/1984,,,,,1984,5
2,,O160,,+-,,,1984,,,1980,3,15/12/1983,,,19,12,1983,3
3,,O166,,+-,,,1984,,,1980,3,17/12/1983,,,19,12,1983,3
3,,O166,,+-,,,1985,,,1980,4,30/12/1984,,,,,1984,8
3,,O166,,+-,,,1986,,,1980,5,,M,4.4,6,12,1985,4
3,,O166,,+-,,,1987,,,1980,6,,F,4.1,7,12,1986,4
3,,O166,,+-,,,1988,,,1980,7,,F,4.6,8,12,1987,2
3,,O166,,+-,,,1990,,,1980,9,04/12/1989,,,,,1989,5
3,,O166,,+-,,,1991,,,1980,10,12/12/1990,M,4.3,12,12,1990,4
4,,O172,,+-,,,1984,,,1980,3,,,,,,1983,5
4,,O172,,+-,,,1985,,,1980,4,,,,,,1984,5
4,,O172,,+-,,,1986,,,1980,5,,M,4.3,4,12,1985,4
5,,O174,,+-,,,1984,,,1980,3,15/12/1983,F,,15,12,1983,3
5,,O174,W500,+-,,,1985,,,1980,4,08/12/1984,F,4.6,9,12,1984,2
5,,O174,W500,+-,,,1986,,,1980,5,,M,5.6,5,12,1985,2
5,,O174,W500,+-,,,1987,,,1980,6,,M,5.5,4,12,1986,3
5,,O174,W500,+-,,,1988,,,1980,7,,M,6.7,3,12,1987,4
5,,O174,W500,+-,Voo,,1989,,,1980,8,27/11/1988,M,6.75,28,11,1988,2
5,,O174-TH,W500,--,Voo,,1990,,,1980,9,22/11/1989,F,4.7,23,11,1989,2
6,,O186,,+-,,,1984,,,1980,3,02/01/1984,,,,,1983,5
7,,O198,W159,+-,,,1984,,,1980,3,19/12/1983,M,4.6,19,12,1983,3
7,,O198,W159,+-,,,1985,,,1980,4,16/12/1984,F,4.3,17,12,1984,2
7,,O198,W159,+-,,,1986,,,1980,5,,M,5,11,12,1985,2
7,,O198,W159,+-,,,1987,,,1980,6,,,,,,1986,5
7,,O198,W159,+-,,,1990,,,1980,9,,,,,,1989,7
8,,O199,,+-,,,1984,,,1980,3,12/02/1984,,,,,1983,5
9,,O202,,+-,,,1984,,,1980,3,19/12/1983,F,4.1,20,12,1983,3
9,,O202,,+-,,,1985,,,1980,4,23/12/1984,F,4.5,24,12,1984,3
9,,O202,,+-,,,1986,,,1980,5,,,,,,1985,5
9,,O202,,+-,,,1987,,,1980,6,,F,4.1,8,12,1986,4
9,,O202,,+-,,,1988,,,1980,7,,,,,,1987,5
10,F00043,O204,,+-,,,1984,,,1980,3,13/12/1983,,,,,1983,5
10,F00043,O204,,+-,,,1985,,,1980,4,13/12/1984,F,4.1,14,12,1984,2
10,F00043,O204,,+-,,,1986,,,1980,5,,,,,,1985,5
10,F00043,O204,,+-,,,1987,,,1980,6,,M,5.7,5,12,1986,2
10,F00043,O204,,+-,,,1988,,,1980,7,,M,6.1,3,12,1987,2
10,F00043,O204,,+-,XT,,1989,,,1980,8,29/11/1988,M,5.8,1,12,1988,3
10,F00043,O204,,+-,XT,,1990,,,1980,9,26/11/1989,F,4.7,28,11,1989,2
10,F00043,O204,W1210,+-,XT,,1991,,,1980,10,23/11/1990,F,3.9,24,11,1990,3
10,F00043,O204-TH,W1210,--,XT,,1992,,,1980,11,22/11/1991,M,5.3,23,11,1991,2
10,F00043,O204-TH,W1210,--,XT,,1993,,,1980,12,30/11/1992,,,,,1992,5
11,,O210,W147,+-,,,1984,,,1980,3,16/12/1983,M,4.6,18,12,1983,3
12,,O218,,+-,,,1984,,,1980,3,15/01/1984,,,,,1983,5
13,,O223,,+-,,,1984,,,1980,3,29/01/1984,,,,,1983,4
14,,O239,W142,+-,,,1984,,,1980,3,29/12/1983,M,,30,12,1983,3
15,,O243,W154,+-,,,1984,,,1980,3,17/12/1983,,,18,12,1983,3
16,,O246,W170,+-,,,1984,,,1980,3,14/02/1984,,,,,1983,5
17,,O248,W115,+-,,,1984,,,1980,3,18/12/1983,F,,20,12,1983,2
17,,O248,W115,+-,,,1985,,,1980,4,,,,,,1984,5
17,,O248,W115-TH,+-,,,1986,,,1980,5,,M,5.3,9,12,1985,2
17,,O248,W115-TH,+-,,,1987,,,1980,6,,M,5.7,10,12,1986,2
17,,O248,W115-TH,+-,,,1988,,,1980,7,,,,,,1987,5
17,,O248,W115-TH-W1072,+-,7Z,,1989,,,1980,8,06/12/1988,F,5.6,7,12,1988,3
18,,O261,W181,+-,,,1984,,,1980,3,30/12/1983,,,,,1983,5
18,,O261,W181,+-,,,1985,,,1980,4,27/12/1984,,,,,1984,5
18,,O261,W181-TH,+-,,,1986,,,1980,5,,F,5.3,15,12,1985,2
18,,O261,W181-TH,+-,,,1987,,,1980,6,,M,4.4,10,12,1986,4
18,,O261,W181-TH,+-,,,1988,,,1980,7,,F,4.4,12,12,1987,3
19,,O264,,+-,,,1984,,,1980,3,12/02/1984,,,,,1983,8
19,,O264,,+-,,,1985,,,1980,4,07/02/1985,,,,,1984,8
20,,O270,,+-,,,1984,,,1980,3,27/12/1983,F,,29,12,1983,3
20,,O270,,+-,,,1985,,,1980,4,06/01/1985,,,,,1984,5
21,,O280,,+-,,,1984,,,1980,3,,,,,,1983,5
22,,O281,,+-,,,1984,,,1980,3,05/02/1984,,,,,1983,5
23,,O288,W259,+-,,,1984,,,1980,3,16/12/1983,,,19,12,1983,3
23,,O288,W259,+-,,,1985,,,1980,4,10/12/1984,M,5.4,11,12,1984,4
23,,O288,W259,+-,,,1986,,,1980,5,,F,5.3,2,12,1985,2
23,,O288,W259-TH,+-,,,1987,,,1980,6,,M,5.8,4,12,1986,2
24,,O292,,+-,,,1984,,,1980,3,02/01/1984,,,,,1983,5
25,,O306,W162,+-,,,1984,,,1980,3,21/12/1983,F,,22,12,1983,3
25,,O306,W162-TH,+-,,,1985,,,1980,4,15/12/1984,,,,,1984,5
25,,O306,W162-TH,+-,,,1986,,,1980,5,,M,6.3,16,12,1985,2
25,,O306,W162-TH,+-,,,1987,,,1980,6,,M,6,12,12,1986,2
26,,O328,W169,+-,,,1984,,,1980,3,25/12/1983,,,,,1983,5
27,,O331,,+-,,,1984,,,1980,3,17/12/1983,,,,,1983,5
28,,O391,,+-,,,1984,,,1980,3,13/01/1984,,,,,1983,8
29,,B280,B280,++,,,1987,2,12,1983,3,,M,5.1,14,12,1986,3
29,,B280,B280,++,,,1988,2,12,1983,4,,M,5.6,9,12,1987,4
29,,B280-TH-W1069,B280,-+,L^,,1989,2,12,1983,5,04/12/1988,F,5.2,5,12,1988,2
29,,B280-TH-W1069,B280,-+,L^,,1990,2,12,1983,6,30/11/1989,F,5.1,30,11,1989,2
30,F02608,Y575,Y575-TH-W1095,+-,^V,,1989,11,12,1984,4,08/12/1988,F,3.9,10,12,1988,3
30,F02608,Y575,Y575-TH-W1095,+-,^V,,1990,11,12,1984,5,16/11/1989,,,,,1989,5
30,F02608,Y575-TH,Y575-TH-W1095,--,^V,,1993,11,12,1984,8,31/05/1993,,,,,1992,8
31,F00156,Y601-TH-W1107,Y601,-+,Io7,,1989,14,12,1984,4,20/12/1988,F,5.3,22,12,1988,2
31,F00156,Y601-TH-W1107-TH,Y601,-+,Io7,,1990,14,12,1984,5,17/12/1989,,,,,1989,5
31,F00156,Y601-TH-W1107-TH,Y601,-+,Io7,,1991,14,12,1984,6,12/12/1990,F,5.1,13,12,1990,2
31,F00156,Y601-TH-W1107-TH,Y601,-+,Io7,,1992,14,12,1984,7,19/12/1991,F,4.9,13,12,1991,2
31,F00156,Y601-TH-W1107-TH,Y601,-+,Io7,,1993,14,12,1984,8,17/12/1992,F,5,17,12,1992,2
31,F00156,Y601-TH-W1107-TH,Y601,-+,Io7,,1994,14,12,1984,9,12/12/1993,M,5.2,13,12,1993,3
31,F00156,Y601-TH-W1107-TH,Y601,-+,Io7,,1995,14,12,1984,10,15/12/1994,F,4.5,16,12,1994,3
31,F00156,Y601-TH-W1107-TH,Y601,-+,Io7,,1996,14,12,1984,11,18/12/1995,F,5,19,12,1995,2
